id,status_pred,prob
42292,0,0.0838
42293,1,0.8498
42294,1,0.9702
42295,0,0.1026
42296,0,0.0185
42297,0,0.1255
42298,0,0.0811
42299,1,0.707
42300,1,0.8339
42301,0,0.2928
42302,0,0.2043
42303,0,0.2695
42304,0,0.0434
42305,0,0.4216
42306,0,0.238
42307,0,0.0686
42308,0,0.1701
42309,0,0.259
42310,0,0.4063
42311,1,0.7191
42312,0,0.0648
42313,1,0.8621
42314,1,0.6391
42315,0,0.0841
42316,1,0.5302
42317,0,0.3349
42318,0,0.419
42319,0,0.0326
42320,0,0.4293
42321,0,0.341
42322,1,0.9202
42323,0,0.0579
42324,1,0.5296
42325,0,0.0118
42326,1,0.528
42327,0,0.0607
42328,0,0.035
42329,0,0.055
42330,1,0.7963
42331,0,0.3438
42332,0,0.263
42333,1,0.6611
42334,0,0.0507
42335,1,0.7155
42336,0,0.057
42337,1,0.7155
42338,0,0.0588
42339,0,0.0276
42340,0,0.1426
42341,1,0.7418
42342,1,0.9238
42343,0,0.3304
42344,0,0.2516
42345,0,0.0618
42346,1,0.9406
42347,1,0.8082
42348,1,0.936
42349,0,0.051
42350,0,0.3204
42351,0,0.0585
42352,1,0.7696
42353,1,0.8707
42354,0,0.1511
42355,0,0.1999
42356,0,0.4604
42357,0,0.012
42358,1,0.9441
42359,0,0.1091
42360,1,0.8463
42361,0,0.138
42362,1,0.7051
42363,0,0.1516
42364,0,0.3722
42365,0,0.2076
42366,0,0.0159
42367,1,0.8067
42368,1,0.7107
42369,1,0.8887
42370,0,0.2853
42371,0,0.0487
42372,0,0.2907
42373,1,0.9642
42374,1,0.8431
42375,1,0.5158
42376,0,0.0598
42377,1,0.9577
42378,1,0.5194
42379,0,0.2133
42380,0,0.0775
42381,0,0.0344
42382,1,0.6389
42383,1,0.9382
42384,0,0.09
42385,0,0.0077
42386,1,0.7912
42387,1,0.6421
42388,0,0.0191
42389,0,0.0187
42390,1,0.8519
42391,0,0.2071
42392,0,0.0249
42393,0,0.1115
42394,0,0.1443
42395,1,0.5234
42396,0,0.3184
42397,1,0.9408
42398,0,0.0915
42399,1,0.5174
42400,0,0.2658
42401,0,0.1859
42402,1,0.8142
42403,1,0.7661
42404,0,0.3823
42405,0,0.3614
42406,0,0.4525
42407,0,0.1523
42408,0,0.0806
42409,0,0.4468
42410,1,0.8577
42411,0,0.0109
42412,1,0.9616
42413,1,0.6831
42414,1,0.6847
42415,0,0.1287
42416,1,0.758
42417,0,0.1253
42418,0,0.301
42419,0,0.2869
42420,0,0.178
42421,0,0.0278
42422,0,0.3651
42423,1,0.5676
42424,1,0.9012
42425,0,0.3661
42426,0,0.2825
42427,0,0.1441
42428,0,0.133
42429,1,0.9698
42430,0,0.1307
42431,1,0.7758
42432,1,0.9567
42433,0,0.163
42434,0,0.0014
42435,0,0.0617
42436,0,0.3351
42437,0,0.1327
42438,0,0.1555
42439,1,0.9411
42440,0,0.2637
42441,1,0.9553
42442,0,0.1087
42443,0,0.1744
42444,0,0.032
42445,0,0.0976
42446,1,0.8126
42447,0,0.2268
42448,0,0.0961
42449,0,0.1399
42450,0,0.211
42451,0,0.1549
42452,0,0.0675
42453,0,0.0212
42454,0,0.321
42455,0,0.2526
42456,0,0.4364
42457,0,0.038
42458,0,0.2253
42459,0,0.3391
42460,1,0.7229
42461,0,0.102
42462,1,0.7835
42463,0,0.1754
42464,1,0.9107
42465,0,0.1782
42466,1,0.7308
42467,0,0.3025
42468,0,0.4598
42469,0,0.3593
42470,0,0.1411
42471,0,0.3057
42472,1,0.7053
42473,0,0.049
42474,0,0.2293
42475,0,0.0978
42476,0,0.0079
42477,0,0.2501
42478,1,0.881
42479,1,0.79
42480,0,0.0092
42481,0,0.0856
42482,0,0.0846
42483,0,0.2398
42484,0,0.3776
42485,0,0.018
42486,1,0.8201
42487,0,0.4383
42488,0,0.025
42489,0,0.2054
42490,0,0.1603
42491,1,0.7251
42492,0,0.4788
42493,0,0.0631
42494,0,0.2136
42495,0,0.3335
42496,0,0.361
42497,0,0.0099
42498,0,0.1115
42499,0,0.0765
42500,0,0.1765
42501,0,0.3576
42502,0,0.421
42503,1,0.8965
42504,0,0.0404
42505,0,0.0008
42506,0,0.3418
42507,0,0.0186
42508,0,0.0939
42509,0,0.2288
42510,1,0.6876
42511,0,0.3112
42512,0,0.1726
42513,0,0.0783
42514,0,0.0517
42515,0,0.3466
42516,0,0.4486
42517,1,0.6293
42518,1,0.9091
42519,0,0.487
42520,1,0.6499
42521,0,0.0121
42522,0,0.2708
42523,0,0.2458
42524,0,0.3749
42525,1,0.7208
42526,1,0.8188
42527,0,0.2671
42528,1,0.6116
42529,0,0.4954
42530,0,0.3935
42531,1,0.8688
42532,0,0.1765
42533,0,0.3502
42534,0,0.1078
42535,1,0.9631
42536,0,0.0817
42537,0,0.1063
42538,1,0.7902
42539,0,0.3447
42540,0,0.0867
42541,0,0.2374
42542,0,0.1364
42543,0,0.3056
42544,0,0.0256
42545,1,0.8407
42546,0,0.031
42547,0,0.3042
42548,0,0.4194
42549,0,0.4503
42550,1,0.6735
42551,1,0.9585
42552,1,0.6205
42553,0,0.0093
42554,0,0.031
42555,0,0.3832
42556,0,0.2036
42557,0,0.3572
42558,0,0.3317
42559,0,0.0962
42560,0,0.2112
42561,1,0.7657
42562,1,0.8434
42563,1,0.7774
42564,1,0.522
42565,1,0.8826
42566,1,0.9598
42567,0,0.0418
42568,0,0.0207
42569,0,0.0673
42570,1,0.5081
42571,0,0.0006
42572,0,0.3357
42573,0,0.2372
42574,1,0.7552
42575,1,0.8354
42576,0,0.1034
42577,0,0.1758
42578,0,0.0072
42579,0,0.0388
42580,0,0.005
42581,1,0.9608
42582,0,0.2103
42583,0,0.0606
42584,0,0.0199
42585,0,0.2532
42586,0,0.1619
42587,1,0.9259
42588,0,0.2907
42589,0,0.4986
42590,1,0.958
42591,0,0.1158
42592,0,0.1654
42593,1,0.5724
42594,0,0.0526
42595,0,0.1323
42596,0,0.3368
42597,0,0.1896
42598,0,0.3615
42599,0,0.398
42600,0,1e-04
42601,1,0.7814
42602,1,0.9128
42603,0,0.0594
42604,1,0.6481
42605,1,0.7286
42606,1,0.7513
42607,0,0.438
42608,0,0.4094
42609,0,0.0006
42610,1,0.6456
42611,1,0.7754
42612,0,0.0654
42613,0,0.0763
42614,0,0.017
42615,0,0.1693
42616,1,0.8277
42617,0,0.2543
42618,1,0.6003
42619,0,0.255
42620,1,0.7764
42621,1,0.8587
42622,0,0.4888
42623,1,0.8871
42624,0,0.0237
42625,0,0.1555
42626,1,0.8772
42627,1,0.5155
42628,1,0.6617
42629,1,0.8922
42630,1,0.8337
42631,0,0.259
42632,0,0.0158
42633,0,0.0611
42634,0,0.2739
42635,0,0.1286
42636,0,0.1971
42637,0,0.3651
42638,0,0.0232
42639,1,0.7888
42640,0,0.0418
42641,0,0.0564
42642,0,0.3882
42643,0,0.0892
42644,0,0.1214
42645,0,0.373
42646,1,0.6951
42647,0,0.0516
42648,0,0.081
42649,0,0.1784
42650,1,0.6639
42651,0,0.2668
42652,0,0.2143
42653,0,0.1021
42654,0,0.3004
42655,0,0.2242
42656,0,0.2893
42657,1,0.8933
42658,0,0.1442
42659,0,0.3382
42660,0,0.4932
42661,0,0.1508
42662,1,0.9464
42663,0,0.064
42664,0,0.0959
42665,0,0.4345
42666,1,0.7288
42667,0,0.0583
42668,0,0.0378
42669,1,0.8359
42670,1,0.838
42671,0,0.0974
42672,1,0.9582
42673,0,0.3012
42674,0,0.0013
42675,0,0.1712
42676,0,0.257
42677,0,0.369
42678,0,0.1215
42679,0,0.1381
42680,0,0.4259
42681,0,0.0122
42682,1,0.9288
42683,1,0.9584
42684,0,0.0259
42685,0,0.1028
42686,0,0.2366
42687,0,0.076
42688,1,0.5174
42689,1,0.8914
42690,0,0.32
42691,0,0.0074
42692,0,0.1259
42693,1,0.5818
42694,0,0.0811
42695,0,0.2189
42696,0,0.4247
42697,0,0.3773
42698,0,0.484
42699,0,0.4356
42700,0,0.2954
42701,0,0.0135
42702,0,0.0775
42703,0,0.2651
42704,0,0.192
42705,0,0.0351
42706,0,0.0744
42707,0,0.0075
42708,0,0.1217
42709,0,0.013
42710,0,0.3209
42711,0,0.3752
42712,0,0.3675
42713,0,0.021
42714,0,0.161
42715,0,0.1788
42716,0,0.3909
42717,0,0.0497
42718,0,0.1468
42719,0,0.0746
42720,1,0.7007
42721,1,0.7566
42722,0,0.2714
42723,0,0.2045
42724,0,0.41
42725,0,0.0141
42726,0,0.1512
42727,1,0.7868
42728,0,0.1025
42729,1,0.9452
42730,1,0.754
42731,0,0.0228
42732,1,0.6692
42733,1,0.8087
42734,0,0.2776
42735,0,0.1031
42736,1,0.8595
42737,0,0.2612
42738,0,0.0193
42739,0,0.1882
42740,0,0.1327
42741,1,0.8208
42742,0,0.0474
42743,1,0.8042
42744,1,0.799
42745,1,0.7208
42746,0,0.0528
42747,1,0.8022
42748,1,0.9498
42749,0,0.4562
42750,1,0.5225
42751,0,0.0402
42752,0,0.0613
42753,0,0.4235
42754,0,0.4278
42755,1,0.7837
42756,0,0.1576
42757,0,0.0525
42758,1,0.7619
42759,1,0.9107
42760,0,0.1685
42761,0,0.024
42762,1,0.9055
42763,0,0.1732
42764,1,0.8913
42765,0,0.1995
42766,0,0.0213
42767,0,0.0081
42768,1,0.6876
42769,0,0.0468
42770,0,0.0628
42771,1,0.8796
42772,0,0.1616
42773,1,0.5881
42774,0,0.0791
42775,0,0.0325
42776,0,0.0957
42777,0,0.4162
42778,0,0.3135
42779,0,0.0829
42780,0,0.0795
42781,0,0.4274
42782,0,0.1012
42783,0,0.1948
42784,1,0.7126
42785,1,0.579
42786,0,0.0132
42787,1,0.591
42788,0,0.394
42789,1,0.9727
42790,0,0.166
42791,0,0.0645
42792,0,0.1217
42793,0,0.2207
42794,0,0.1983
42795,1,0.7075
42796,1,0.8998
42797,0,0.0961
42798,1,0.8307
42799,0,0.0821
42800,1,0.6705
42801,1,0.7309
42802,0,0.0613
42803,0,0.058
42804,0,0.0889
42805,0,0.0208
42806,0,0.4046
42807,0,0.2139
42808,0,0.0004
42809,0,0.0541
42810,1,0.9082
42811,1,0.7809
42812,0,0.1893
42813,1,0.7349
42814,1,0.5133
42815,0,0.087
42816,0,0.066
42817,1,0.5682
42818,0,0.1433
42819,0,0.2024
42820,1,0.6079
42821,0,0.0472
42822,1,0.7597
42823,1,0.8492
42824,0,0.1191
42825,0,0.0105
42826,1,0.9649
42827,0,0.3855
42828,1,0.8179
42829,0,0.3839
42830,1,0.8677
42831,1,0.9441
42832,0,0.1352
42833,1,0.8622
42834,0,0.1355
42835,1,0.7518
42836,1,0.5149
42837,1,0.8105
42838,0,0.0144
42839,1,0.8637
42840,0,0.0293
42841,0,0.0014
42842,0,0.2764
42843,1,0.9355
42844,0,0.2924
42845,0,0.1819
42846,1,0.805
42847,0,0.0651
42848,0,0.0193
42849,0,0.0302
42850,0,0.2297
42851,0,0.4623
42852,1,0.5394
42853,1,0.8672
42854,0,0.0869
42855,0,0.0102
42856,0,0.063
42857,1,0.689
42858,0,0.2052
42859,0,0.0425
42860,0,0.313
42861,0,0.0428
42862,0,0.0096
42863,0,0.0118
42864,1,0.9464
42865,1,0.7397
42866,0,0.1865
42867,0,0.0647
42868,1,0.7931
42869,0,0.0808
42870,0,0.0749
42871,1,0.8388
42872,0,0.2251
42873,0,0.145
42874,0,0.3755
42875,1,0.7746
42876,1,0.7297
42877,0,0.2014
42878,0,0.4616
42879,1,0.767
42880,0,0.0199
42881,0,0.01
42882,1,0.6687
42883,1,0.7906
42884,0,0.1257
42885,1,0.8592
42886,1,0.881
42887,0,0.225
42888,0,0.4277
42889,1,0.8379
42890,1,0.8232
42891,0,0.2434
42892,0,0.1867
42893,0,0.159
42894,0,0.0707
42895,0,0.2139
42896,0,0.1071
42897,1,0.5895
42898,1,0.8514
42899,0,0.0645
42900,0,0.2759
42901,1,0.7964
42902,0,0.2528
42903,1,0.6899
42904,0,0.3938
42905,0,0.0256
42906,0,0.115
42907,1,0.5386
42908,1,0.8538
42909,0,0.1719
42910,0,0.0116
42911,1,0.9394
42912,0,0.232
42913,0,0.1548
42914,0,0.2507
42915,1,0.6876
42916,0,0.0012
42917,0,0.1422
42918,1,0.5607
42919,0,0.3444
42920,0,0.4176
42921,1,0.8162
42922,1,0.8835
42923,1,0.9419
42924,1,0.7932
42925,0,0.4664
42926,0,0.0489
42927,0,0.2178
42928,0,0.4429
42929,0,0.0472
42930,1,0.7394
42931,0,0.3672
42932,1,0.8772
42933,0,0.0624
42934,1,0.9475
42935,0,0.2783
42936,1,0.9447
42937,1,0.7954
42938,1,0.9524
42939,0,0.1365
42940,0,0.3962
42941,1,0.7016
42942,0,0.1102
42943,1,0.909
42944,0,0.3267
42945,1,0.5975
42946,1,0.508
42947,0,0.1204
42948,0,0.3451
42949,0,0.073
42950,1,0.8746
42951,0,0.163
42952,0,0.2766
42953,1,0.8236
42954,0,0.4049
42955,1,0.9441
42956,0,0.2119
42957,1,0.5501
42958,0,0.1824
42959,0,0.3646
42960,0,0.0781
42961,0,0.4273
42962,1,0.9432
42963,0,0.1228
42964,0,0.0277
42965,0,0.016
42966,1,0.8963
42967,1,0.8733
42968,0,0.003
42969,0,0.1502
42970,0,0.0342
42971,0,0.2585
42972,1,0.8608
42973,1,0.8388
42974,0,0.0392
42975,0,0.194
42976,0,0.1556
42977,0,0.1376
42978,1,0.8952
42979,0,0.1515
42980,1,0.8357
42981,0,0.2724
42982,0,0.2983
42983,0,0.1059
42984,0,0.4005
42985,1,0.6325
42986,1,0.7645
42987,1,0.9485
42988,0,0.0566
42989,0,0.3053
42990,1,0.7668
42991,0,0.047
42992,0,0.0732
42993,0,0.1261
42994,1,0.5429
42995,1,0.7457
42996,0,0.1405
42997,1,0.8147
42998,1,0.818
42999,1,0.905
43000,0,0.4954
43001,0,0.079
43002,1,0.5607
43003,1,0.8281
43004,1,0.7202
43005,0,0.1682
43006,1,0.8131
43007,0,0.398
43008,0,0.1192
43009,0,0.2711
43010,1,0.5733
43011,0,0.173
43012,1,0.5175
43013,0,0.1724
43014,1,0.6507
43015,0,0.1595
43016,0,0.4435
43017,0,0.2693
43018,0,0.0834
43019,0,0.2681
43020,1,0.7587
43021,0,0.1919
43022,0,0.2548
43023,1,0.6454
43024,0,0.1068
43025,1,0.5354
43026,1,0.5789
43027,0,0.0559
43028,0,0.1846
43029,0,0.4825
43030,0,0.1519
43031,0,0.0437
43032,0,0.0279
43033,1,0.7839
43034,0,0.1224
43035,0,0.2823
43036,0,0.0746
43037,0,0.0827
43038,1,0.5517
43039,0,0.3778
43040,0,0.2334
43041,0,0.1958
43042,0,0.0015
43043,1,0.7205
43044,0,0.0403
43045,0,0.1843
43046,1,0.8647
43047,0,0.1755
43048,0,0.1184
43049,0,0.0938
43050,0,0.4945
43051,0,0.0975
43052,0,0.0149
43053,1,0.7604
43054,0,0.0694
43055,0,0.1302
43056,0,0.2743
43057,0,0.132
43058,1,0.9435
43059,1,0.8556
43060,0,0.0165
43061,0,0.0683
43062,0,0.4729
43063,1,0.7624
43064,1,0.8531
43065,0,0.3311
43066,0,0.2453
43067,0,0.0597
43068,1,0.874
43069,0,0.0425
43070,0,0.177
43071,0,0.0013
43072,0,0.0069
43073,0,0.3539
43074,1,0.6874
43075,0,0.1617
43076,0,0.0118
43077,0,0.2916
43078,0,0.3309
43079,1,0.554
43080,0,0.0703
43081,0,0.1147
43082,0,0.2042
43083,0,0.0739
43084,0,0.0217
43085,0,0.002
43086,0,0.0241
43087,1,0.6538
43088,0,0.1406
43089,1,0.8838
43090,1,0.8068
43091,1,0.9003
43092,0,0.0287
43093,1,0.8952
43094,0,0.3768
43095,0,0.0359
43096,1,0.6948
43097,0,0.1489
43098,1,0.6498
43099,1,0.8729
43100,0,0.4883
43101,0,0.3372
43102,1,0.6212
43103,0,0.0173
43104,0,0.0394
43105,0,0.2264
43106,0,0.417
43107,0,0.4806
43108,0,0.0941
43109,0,0.3395
43110,1,0.9152
43111,0,0.3753
43112,1,0.8898
43113,0,0.191
43114,1,0.7412
43115,0,0.3051
43116,1,0.7696
43117,0,0.0797
43118,0,0.1315
43119,1,0.8172
43120,1,0.7649
43121,0,0.1038
43122,0,0.4522
43123,1,0.8174
43124,1,0.8789
43125,1,0.6638
43126,0,0.2704
43127,1,0.5124
43128,1,0.9686
43129,1,0.7065
43130,0,0.3794
43131,1,0.5926
43132,0,0.2279
43133,1,0.8247
43134,1,0.5645
43135,1,0.7111
43136,0,0.2648
43137,0,0.2398
43138,0,0.0954
43139,0,0.1295
43140,0,0.229
43141,0,0.1214
43142,1,0.9433
43143,0,0.2931
43144,1,0.8629
43145,1,0.9317
43146,0,0.0586
43147,0,0.0895
43148,1,0.8614
43149,0,0.0228
43150,1,0.8609
43151,0,0.0301
43152,0,0.0562
43153,0,0.2269
43154,0,0.0974
43155,0,0.191
43156,0,0.0588
43157,0,0.0697
43158,1,0.6205
43159,0,0.1957
43160,1,0.8627
43161,0,0.0291
43162,0,0.2346
43163,0,0.0739
43164,0,0.0376
43165,1,0.8021
43166,0,0.0422
43167,0,0.0105
43168,0,0.0117
43169,1,0.6079
43170,0,0.113
43171,1,0.8627
43172,1,0.9842
43173,0,0.0992
43174,1,0.8699
43175,1,0.9374
43176,0,0.2865
43177,0,0.046
43178,0,0.0472
43179,1,0.6289
43180,1,0.8885
43181,0,0.1184
43182,1,0.951
43183,0,0.008
43184,1,0.8107
43185,1,0.946
43186,0,0.0035
43187,1,0.7123
43188,1,0.6398
43189,0,0.0338
43190,0,0.1882
43191,0,0.398
43192,1,0.7596
43193,0,0.1916
43194,0,0.3677
43195,0,0.1556
43196,1,0.7811
43197,0,0.2981
43198,1,0.9238
43199,0,0.0175
43200,0,0.2656
43201,1,0.6203
43202,0,0.0915
43203,0,0.0478
43204,0,0.2819
43205,0,0.1585
43206,1,0.7495
43207,0,0.0026
43208,1,0.9175
43209,0,0.1815
43210,0,0.2163
43211,0,0.3722
43212,1,0.5183
43213,0,0.285
43214,0,0.1046
43215,0,0.2425
43216,1,0.6175
43217,0,0.0525
43218,1,0.6916
43219,0,0.0002
43220,0,0.2781
43221,1,0.7451
43222,0,0.3627
43223,0,0.0168
43224,0,0.0704
43225,0,0.1294
43226,1,0.68
43227,1,0.7549
43228,0,0.1587
43229,0,0.1979
43230,0,0.0008
43231,1,0.7636
43232,0,0.4272
43233,0,0.2651
43234,0,0.3307
43235,0,0.0046
43236,0,0.0033
43237,0,0.2173
43238,0,0.1625
43239,0,0.0702
43240,0,0.0681
43241,1,0.6369
43242,0,0.1796
43243,1,0.5125
43244,1,0.8206
43245,1,0.5894
43246,0,0.0146
43247,0,0.2158
43248,1,0.5851
43249,1,0.8438
43250,1,0.7945
43251,1,0.508
43252,1,0.9592
43253,0,0.08
43254,1,0.752
43255,1,0.8927
43256,1,0.8034
43257,0,0.1078
43258,1,0.8845
43259,0,0.0052
43260,1,0.9487
43261,0,0.2843
43262,0,0.1298
43263,0,0.4638
43264,0,0.4656
43265,1,0.649
43266,1,0.8376
43267,0,0.2871
43268,0,0.0683
43269,0,0.0017
43270,1,0.7847
43271,0,0.091
43272,0,0.457
43273,1,0.897
43274,0,0.0413
43275,0,0.2019
43276,0,0.3307
43277,0,0.4023
43278,1,0.9558
43279,1,0.7878
43280,0,0.1752
43281,0,0.0344
43282,0,0.3456
43283,1,0.8287
43284,0,0.1869
43285,0,0.1966
43286,1,0.8338
43287,0,0.3754
43288,0,0.16
43289,1,0.8698
43290,0,0.0038
43291,0,0.1439
43292,0,0.1343
43293,1,0.8107
43294,0,0.3332
43295,1,0.633
43296,1,0.7448
43297,1,0.5243
43298,0,0.1436
43299,0,0.0052
43300,0,0.1224
43301,0,0.2968
43302,0,0.4619
43303,0,0.2657
43304,0,0.251
43305,0,0.0607
43306,1,0.7607
43307,0,0.1309
43308,0,0.4899
43309,1,0.9447
43310,0,0.2981
43311,0,0.1697
43312,0,0.123
43313,1,0.8571
43314,0,0.4096
43315,1,0.961
43316,0,0.4434
43317,0,0.1742
43318,0,0.1808
43319,0,0.3408
43320,1,0.8137
43321,1,0.7822
43322,0,0.2924
43323,1,0.8099
43324,0,0.2735
43325,0,0.3316
43326,0,0.0176
43327,1,0.7125
43328,0,0.2987
43329,0,0.3959
43330,0,0.267
43331,0,0.027
43332,1,0.9564
43333,0,0.3393
43334,0,0.2969
43335,0,0.0537
43336,0,0.0177
43337,1,0.8122
43338,1,0.6144
43339,0,0.031
43340,0,0.0369
43341,1,0.963
43342,1,0.7043
43343,1,0.817
43344,0,0.2153
43345,0,0.2907
43346,1,0.7195
43347,0,0.4996
43348,1,0.9538
43349,0,0.1028
43350,0,0.1002
43351,1,0.8389
43352,1,0.7871
43353,1,0.9322
43354,1,0.8324
43355,1,0.651
43356,0,0.0011
43357,1,0.9015
43358,0,0.0085
43359,0,0.2036
43360,0,0.2741
43361,0,0.054
43362,0,0.0387
43363,0,0.0514
43364,0,0.2005
43365,1,0.7939
43366,1,0.7978
43367,1,0.8118
43368,1,0.9451
43369,0,0.2153
43370,1,0.8912
43371,0,0.3126
43372,0,0.3569
43373,1,0.7768
43374,0,0.0846
43375,0,0.119
43376,0,0.1313
43377,1,0.6878
43378,1,0.8118
43379,0,0.0102
43380,1,0.8795
43381,0,0.1866
43382,0,0.0708
43383,0,0.2651
43384,1,0.8908
43385,0,0.0034
43386,1,0.6923
43387,0,0.0168
43388,1,0.8776
43389,1,0.9703
43390,0,0.1717
43391,0,0.379
43392,0,0.0825
43393,0,0.2815
43394,1,0.5756
43395,1,0.7538
43396,0,0.2014
43397,0,0.1296
43398,0,0.3284
43399,1,0.9177
43400,0,0.3522
43401,1,0.9361
43402,0,0.0754
43403,0,0.4228
43404,0,0.1811
43405,0,0.0715
43406,0,0.4456
43407,0,0.126
43408,1,0.8014
43409,0,0.1158
43410,0,0.4663
43411,1,0.8193
43412,0,0.1192
43413,1,0.6509
43414,0,0.0861
43415,0,0.1596
43416,1,0.7946
43417,0,0.0616
43418,1,0.8468
43419,1,0.843
43420,0,0.1081
43421,1,0.9207
43422,1,0.963
43423,0,0.1606
43424,0,0.0643
43425,0,0.1438
43426,1,0.916
43427,1,0.9227
43428,1,0.8185
43429,1,0.8153
43430,0,0.0664
43431,1,0.5849
43432,0,0.0002
43433,0,0.2157
43434,1,0.6757
43435,0,0.0012
43436,1,0.8701
43437,0,0.0235
43438,0,0.1669
43439,1,0.7133
43440,0,0.003
43441,1,0.9575
43442,0,0.0739
43443,1,0.8026
43444,1,0.7346
43445,0,0.2405
43446,1,0.8596
43447,1,0.9029
43448,0,0.3049
43449,0,0.0903
43450,1,0.7791
43451,0,0.0437
43452,0,0.068
43453,1,0.7666
43454,0,0.144
43455,1,0.807
43456,0,0.112
43457,0,0.2644
43458,1,0.7526
43459,0,0.1078
43460,1,0.6948
43461,0,0.0842
43462,0,0.3693
43463,0,0.4305
43464,0,0.2013
43465,0,0.0174
43466,0,0.0884
43467,0,0.0738
43468,0,0.0212
43469,0,0.0805
43470,0,0.027
43471,1,0.665
43472,0,0.2637
43473,1,0.5993
43474,0,0.2639
43475,0,0.025
43476,0,0.2011
43477,0,0.0052
43478,0,0.2775
43479,1,0.9399
43480,1,0.8889
43481,0,0.1685
43482,1,0.9632
43483,1,0.5873
43484,0,0.1603
43485,0,0.0951
43486,0,0.0027
43487,1,0.6204
43488,0,0.3172
43489,1,0.8392
43490,0,0.1744
43491,0,0.0669
43492,0,0.1056
43493,0,0.3866
43494,0,0.0586
43495,0,0.0716
43496,1,0.765
43497,1,0.8037
43498,1,0.8538
43499,0,0.4444
43500,1,0.5912
43501,1,0.7912
43502,1,0.8129
43503,0,0.0338
43504,0,0.1194
43505,0,0.0966
43506,1,0.7491
43507,0,0.0079
43508,1,0.9459
43509,1,0.8296
43510,0,0.124
43511,0,0.4897
43512,0,0.3017
43513,0,0.0063
