id,loan_pred,prob
58748,0,0.0079
58749,0,0.0154
58750,0,0.006
58751,0,0.0412
58752,1,0.8434
58753,0,0.0008
58754,0,0.1181
58755,0,0.1513
58756,0,0.0034
58757,0,0.0063
58758,0,0.0027
58759,0,0.0007
58760,0,0.0004
58761,0,0.007
58762,0,0.0022
58763,1,0.9746
58764,0,0.0037
58765,0,0.0123
58766,0,0.0012
58767,0,0.005
58768,1,0.9455
58769,0,0.0016
58770,0,0.0201
58771,0,0.0303
58772,0,0.022
58773,0,0.0202
58774,0,0.002
58775,1,0.9414
58776,1,0.9139
58777,0,0.0016
58778,0,0.1569
58779,0,0.0174
58780,0,0.0084
58781,0,0.0603
58782,0,0.0124
58783,0,0.0391
58784,0,0.0018
58785,0,0.0003
58786,0,0.0706
58787,0,0.0402
58788,0,0.1301
58789,0,0.0623
58790,0,0.0293
58791,0,0.1004
58792,0,0.0
58793,0,0.0344
58794,0,0.0042
58795,0,0.0123
58796,0,0.0159
58797,0,0.0224
58798,0,0.0773
58799,1,0.7604
58800,0,0.014
58801,0,0.0012
58802,1,0.9638
58803,0,0.1865
58804,1,0.6281
58805,1,0.8833
58806,0,0.0426
58807,0,0.0153
58808,0,0.0123
58809,1,0.9275
58810,1,0.9298
58811,0,0.0165
58812,0,0.021
58813,0,0.0587
58814,0,0.0628
58815,0,0.008
58816,0,0.0063
58817,0,0.0006
58818,0,0.0398
58819,0,0.163
58820,0,0.0008
58821,0,0.0433
58822,0,0.0007
58823,0,0.0724
58824,0,0.0503
58825,0,0.0008
58826,0,0.057
58827,0,0.0197
58828,0,0.0034
58829,0,0.059
58830,0,0.0241
58831,0,0.0975
58832,0,0.0044
58833,0,0.0027
58834,0,0.004
58835,1,0.9852
58836,0,0.0142
58837,0,0.0495
58838,0,0.0017
58839,0,0.0009
58840,0,0.0028
58841,1,0.9777
58842,0,0.0003
58843,0,0.0065
58844,0,0.0847
58845,0,0.0247
58846,0,1e-04
58847,1,0.9877
58848,0,0.0612
58849,0,0.0857
58850,0,0.0079
58851,0,0.0495
58852,0,0.4925
58853,0,0.0099
58854,1,0.9971
58855,0,0.2352
58856,0,0.0022
58857,0,0.0132
58858,0,0.0768
58859,0,0.0082
58860,0,0.0024
58861,0,0.019
58862,0,0.0829
58863,0,0.2046
58864,0,0.0057
58865,0,0.1573
58866,0,0.0131
58867,0,1e-04
58868,0,0.0176
58869,0,0.0098
58870,0,0.1422
58871,0,0.0003
58872,0,0.0075
58873,0,0.0128
58874,1,0.9154
58875,0,0.0102
58876,0,0.0069
58877,0,1e-04
58878,0,0.0036
58879,0,0.0041
58880,0,0.0028
58881,0,0.0135
58882,0,0.0003
58883,0,0.185
58884,0,0.2193
58885,0,0.2059
58886,0,0.0005
58887,1,0.9607
58888,0,0.2819
58889,1,0.9791
58890,0,0.1936
58891,1,0.6024
58892,0,0.0242
58893,0,0.0052
58894,0,0.0145
58895,0,0.0003
58896,0,0.0013
58897,0,0.014
58898,0,0.2186
58899,1,0.9821
58900,0,0.0072
58901,0,0.0956
58902,0,0.1138
58903,0,0.0006
58904,0,0.0166
58905,0,0.0099
58906,0,0.0728
58907,0,0.0266
58908,0,0.0276
58909,0,0.0192
58910,0,0.0003
58911,0,0.0157
58912,0,1e-04
58913,0,0.07
58914,0,0.0036
58915,0,0.0108
58916,0,0.0074
58917,0,0.0526
58918,0,0.0095
58919,0,0.0107
58920,0,0.1299
58921,0,0.0044
58922,0,0.0538
58923,0,0.0008
58924,0,0.0594
58925,0,0.005
58926,0,0.2689
58927,0,0.0202
58928,0,0.0497
58929,0,0.0004
58930,0,0.0056
58931,1,0.9911
58932,1,0.9436
58933,0,0.3654
58934,0,0.028
58935,0,0.0199
58936,0,0.0292
58937,0,0.0276
58938,0,0.0088
58939,0,0.0027
58940,0,0.0046
58941,1,0.9233
58942,1,0.9826
58943,0,0.0956
58944,0,0.011
58945,0,0.012
58946,0,0.0145
58947,0,0.0068
58948,0,0.0245
58949,0,0.0038
58950,0,0.0713
58951,0,0.0467
58952,0,0.0135
58953,0,0.0028
58954,1,0.9953
58955,0,0.0075
58956,0,0.0002
58957,1,0.9814
58958,1,0.978
58959,0,0.0092
58960,0,0.013
58961,0,0.0016
58962,0,0.1337
58963,0,0.2414
58964,0,0.0329
58965,0,0.011
58966,0,0.0252
58967,0,0.0015
58968,0,0.0113
58969,0,0.3485
58970,0,0.002
58971,0,0.1674
58972,0,0.0289
58973,1,0.9617
58974,0,0.1083
58975,0,0.0241
58976,0,0.0128
58977,0,0.0319
58978,0,0.0279
58979,0,0.0176
58980,0,0.0032
58981,0,0.0019
58982,0,0.0111
58983,0,0.0025
58984,0,0.0213
58985,0,0.0957
58986,1,0.9838
58987,0,0.0021
58988,0,0.0295
58989,0,0.0232
58990,0,0.001
58991,0,0.0583
58992,0,0.0733
58993,0,0.0004
58994,0,0.0017
58995,1,0.9996
58996,0,0.0112
58997,1,0.9683
58998,0,0.0059
58999,0,0.0037
59000,0,0.0971
59001,0,0.143
59002,0,0.1454
59003,0,0.0383
59004,0,0.0314
59005,0,0.0002
59006,0,0.0664
59007,0,0.0162
59008,1,0.9958
59009,0,0.0052
59010,0,0.0031
59011,0,0.0018
59012,0,0.0028
59013,0,0.0016
59014,0,0.0046
59015,0,0.0689
59016,0,0.0076
59017,0,0.0092
59018,0,0.0344
59019,0,0.0068
59020,0,0.0024
59021,0,0.0324
59022,0,0.0787
59023,1,0.9951
59024,0,0.0206
59025,1,0.9971
59026,0,0.0091
59027,0,0.0038
59028,0,0.0099
59029,0,0.075
59030,0,0.0031
59031,1,0.6802
59032,1,0.6145
59033,0,0.1302
59034,0,0.0878
59035,0,0.0011
59036,0,0.0452
59037,0,0.126
59038,0,0.0064
59039,0,0.0237
59040,0,0.003
59041,0,0.0026
59042,0,0.0478
59043,1,0.9932
59044,0,0.0012
59045,0,0.0013
59046,1,0.5471
59047,0,0.2869
59048,0,0.007
59049,0,0.0433
59050,0,0.0006
59051,0,0.0204
59052,0,0.0026
59053,0,0.0125
59054,0,0.0145
59055,0,0.0405
59056,0,0.0022
59057,1,0.9339
59058,0,0.0006
59059,0,0.1949
59060,0,0.0008
59061,0,0.0054
59062,0,0.0165
59063,0,0.0007
59064,0,0.0062
59065,0,0.0012
59066,0,0.0468
59067,0,0.0013
59068,0,0.0079
59069,0,0.0466
59070,0,0.0008
59071,0,0.0689
59072,0,0.0035
59073,1,0.9697
59074,0,0.0077
59075,0,0.0067
59076,0,0.0125
59077,1,0.9987
59078,0,0.0227
59079,0,0.042
59080,0,0.0034
59081,0,0.0092
59082,0,0.0367
59083,0,0.0027
59084,0,0.0003
59085,0,0.0139
59086,0,0.2402
59087,0,0.3395
59088,0,0.0403
59089,0,0.0411
59090,0,0.0299
59091,0,0.0032
59092,0,0.3107
59093,0,0.0165
59094,0,0.0032
59095,0,0.0009
59096,1,0.9886
59097,0,0.0301
59098,0,0.0102
59099,0,0.0015
59100,0,0.0012
59101,0,0.0047
59102,0,0.0105
59103,0,0.0378
59104,0,0.0
59105,0,0.0503
59106,0,0.0002
59107,0,0.0695
59108,0,0.1798
59109,0,0.0374
59110,0,0.0031
59111,0,0.0032
59112,0,0.0301
59113,1,0.7952
59114,0,0.1587
59115,0,0.2013
59116,0,0.0009
59117,0,0.0051
59118,0,0.0233
59119,0,0.018
59120,0,0.0011
59121,0,0.0053
59122,0,0.0528
59123,1,0.9872
59124,1,0.9127
59125,0,0.0264
59126,1,0.8389
59127,0,0.0229
59128,0,0.0116
59129,0,0.0071
59130,0,0.0495
59131,0,0.047
59132,0,0.2924
59133,0,0.4425
59134,0,0.0212
59135,0,0.0005
59136,0,0.0013
59137,0,0.0319
59138,0,0.0056
59139,0,0.0025
59140,0,0.0393
59141,1,0.9808
59142,0,0.0605
59143,0,0.0148
59144,0,0.0019
59145,0,0.039
59146,0,0.0171
59147,0,0.0297
59148,0,0.0045
59149,0,0.0079
59150,0,0.0035
59151,0,0.015
59152,0,0.02
59153,0,0.0092
59154,0,0.0383
59155,0,0.0791
59156,0,0.136
59157,0,0.0072
59158,0,0.0371
59159,0,0.0028
59160,0,0.028
59161,0,0.0078
59162,0,0.0052
59163,0,0.024
59164,0,0.0189
59165,0,0.0834
59166,0,0.001
59167,0,0.011
59168,0,0.0809
59169,1,0.9821
59170,0,0.0751
59171,0,0.0043
59172,0,0.1962
59173,0,0.0015
59174,0,0.0026
59175,0,0.0021
59176,0,0.0084
59177,0,0.0017
59178,0,0.0011
59179,0,0.0058
59180,0,0.1618
59181,0,0.3775
59182,1,0.9774
59183,0,0.0494
59184,0,0.0246
59185,0,0.2456
59186,0,0.0049
59187,0,0.0025
59188,0,0.0232
59189,0,0.005
59190,0,0.0005
59191,0,0.0027
59192,0,0.1949
59193,0,0.0024
59194,0,0.0172
59195,0,0.0374
59196,0,0.0042
59197,0,0.0324
59198,0,0.0208
59199,0,0.0025
59200,1,0.9999
59201,0,0.0015
59202,0,0.0104
59203,0,0.369
59204,0,0.0476
59205,0,0.0131
59206,0,0.0009
59207,0,0.0228
59208,0,0.0011
59209,0,0.0062
59210,0,0.0104
59211,0,0.08
59212,0,0.0118
59213,0,0.0325
59214,0,0.0017
59215,0,0.0019
59216,0,0.0169
59217,0,0.0011
59218,0,0.0004
59219,0,0.0036
59220,1,0.9144
59221,1,0.9594
59222,0,0.0087
59223,0,0.038
59224,0,0.1451
59225,0,0.0018
59226,0,0.0061
59227,0,0.0941
59228,0,0.1747
59229,0,0.0003
59230,0,0.0035
59231,0,0.0002
59232,0,0.0949
59233,0,0.0216
59234,0,0.0112
59235,0,0.0011
59236,0,0.0228
59237,0,0.0318
59238,0,0.001
59239,1,0.6301
59240,0,0.0036
59241,0,0.0069
59242,0,0.0327
59243,1,0.9896
59244,0,0.0078
59245,1,0.9606
59246,0,0.0073
59247,0,0.021
59248,0,0.0016
59249,0,0.1267
59250,0,0.2644
59251,0,0.062
59252,0,0.0083
59253,0,0.0694
59254,0,0.0084
59255,0,0.0018
59256,0,0.0005
59257,1,0.997
59258,0,0.0081
59259,1,0.9987
59260,0,0.0038
59261,0,0.0072
59262,0,0.1695
59263,0,0.0005
59264,0,0.372
59265,1,0.6324
59266,0,0.0239
59267,0,0.4909
59268,0,0.0088
59269,0,0.0023
59270,1,0.9958
59271,0,0.003
59272,1,0.9683
59273,0,0.0102
59274,0,0.0178
59275,0,0.0035
59276,0,0.0311
59277,0,0.0003
59278,0,0.066
59279,0,0.0017
59280,0,0.0059
59281,0,0.0133
59282,0,0.0032
59283,0,0.003
59284,0,0.001
59285,0,0.0087
59286,0,0.0466
59287,0,0.0197
59288,1,0.9974
59289,0,0.0074
59290,0,0.0567
59291,0,0.0072
59292,0,0.0004
59293,0,0.0052
59294,1,0.9783
59295,0,0.0725
59296,0,0.0027
59297,0,0.0143
59298,0,0.0198
59299,0,0.01
59300,0,0.2949
59301,0,0.0038
59302,0,0.0199
59303,0,0.0158
59304,0,0.0304
59305,0,0.0651
59306,0,0.006
59307,0,0.0045
59308,0,0.0019
59309,0,0.002
59310,0,0.0009
59311,0,0.1571
59312,0,0.1638
59313,1,0.8161
59314,0,0.4044
59315,0,0.0008
59316,1,0.5951
59317,0,0.022
59318,0,0.0159
59319,0,0.1097
59320,0,0.0184
59321,0,0.0442
59322,0,0.0288
59323,0,0.0156
59324,1,0.9493
59325,0,0.012
59326,0,0.0045
59327,0,0.0452
59328,0,0.0027
59329,0,0.0075
59330,0,0.1392
59331,0,0.0248
59332,0,0.0027
59333,0,0.001
59334,0,0.038
59335,0,0.0038
59336,0,0.0268
59337,0,0.002
59338,0,0.0678
59339,1,0.6134
59340,1,0.7081
59341,0,0.0797
59342,0,0.1304
59343,0,0.0003
59344,0,0.1321
59345,0,0.0081
59346,0,0.0033
59347,0,0.0463
59348,0,0.0022
59349,0,0.0178
59350,0,0.012
59351,0,0.0243
59352,0,0.0369
59353,1,0.9573
59354,1,0.9312
59355,0,0.0014
59356,0,0.0011
59357,0,0.0007
59358,0,0.0205
59359,0,0.0072
59360,1,0.9925
59361,0,0.0127
59362,1,0.6404
59363,0,0.0007
59364,0,0.0065
59365,0,0.0047
59366,0,0.0016
59367,0,0.0688
59368,1,0.9875
59369,0,0.0618
59370,0,0.003
59371,0,0.0039
59372,0,0.489
59373,0,0.0389
59374,0,0.0036
59375,1,0.9959
59376,1,0.9635
59377,0,0.4667
59378,0,0.0812
59379,0,0.049
59380,0,0.0548
59381,0,0.002
59382,0,0.0854
59383,1,0.9906
59384,0,0.0198
59385,0,0.0193
59386,0,0.0398
59387,1,0.9944
59388,0,0.2808
59389,0,0.007
59390,0,0.1527
59391,0,0.0528
59392,0,0.2057
59393,1,0.9631
59394,1,0.9717
59395,0,0.1499
59396,0,0.0113
59397,0,0.0067
59398,0,0.0029
59399,0,0.0029
59400,0,0.0255
59401,0,0.021
59402,0,0.2024
59403,0,0.0067
59404,0,0.0021
59405,0,0.0002
59406,0,0.0025
59407,0,0.0386
59408,0,0.0915
59409,0,0.0125
59410,0,0.0003
59411,0,0.0025
59412,0,0.0072
59413,0,1e-04
59414,0,0.1221
59415,0,0.007
59416,0,0.003
59417,0,0.0028
59418,0,0.002
59419,0,0.0012
59420,0,0.1276
59421,0,0.2544
59422,0,0.0292
59423,0,0.1078
59424,1,0.9419
59425,0,0.0577
59426,0,0.0107
59427,0,0.0071
59428,0,0.1902
59429,0,0.0016
59430,0,0.0096
59431,0,0.0277
59432,0,0.0022
59433,0,0.0128
59434,0,0.0005
59435,0,0.0004
59436,0,0.0008
59437,0,0.0045
59438,0,0.1915
59439,0,0.0445
59440,0,0.0007
59441,0,0.0178
59442,0,0.0005
59443,0,1e-04
59444,0,0.0435
59445,0,0.1064
59446,0,0.0469
59447,0,0.0195
59448,0,0.0012
59449,0,0.0378
59450,0,0.0688
59451,1,0.9773
59452,0,0.0636
59453,0,0.0187
59454,0,0.0237
59455,0,0.0266
59456,0,0.072
59457,1,0.9978
59458,0,0.3101
59459,0,0.1395
59460,0,0.0555
59461,0,0.0006
59462,1,0.9709
59463,0,0.0011
59464,0,0.2945
59465,0,0.0621
59466,0,0.0437
59467,0,0.0356
59468,0,1e-04
59469,0,0.0256
59470,0,0.0009
59471,0,0.0029
59472,0,0.0404
59473,0,0.0146
59474,0,0.0081
59475,0,0.0343
59476,0,0.0116
59477,0,0.0044
59478,0,0.0025
59479,0,0.0078
59480,0,0.0095
59481,0,0.099
59482,1,0.9935
59483,0,0.0013
59484,0,0.0006
59485,0,0.0229
59486,0,0.0904
59487,0,0.2795
59488,0,0.019
59489,0,0.0141
59490,0,0.0021
59491,1,0.978
59492,0,0.0106
59493,0,0.0035
59494,0,0.0004
59495,1,0.9465
59496,0,0.0078
59497,1,0.9848
59498,0,0.1051
59499,0,0.0234
59500,1,0.9929
59501,0,0.0224
59502,1,0.9015
59503,0,0.3209
59504,0,0.0005
59505,0,0.0745
59506,0,0.0005
59507,0,0.0032
59508,0,0.0069
59509,0,0.004
59510,0,0.0187
59511,0,0.0019
59512,0,0.0015
59513,0,0.382
59514,0,0.0045
59515,0,0.0443
59516,0,0.004
59517,0,0.2267
59518,0,0.0048
59519,0,0.0007
59520,0,0.0102
59521,0,0.0043
59522,0,0.051
59523,0,0.0002
59524,0,0.0095
59525,1,0.8377
59526,0,0.2091
59527,0,0.0103
59528,0,0.0143
59529,0,0.0823
59530,1,0.98
59531,0,0.0043
59532,0,1e-04
59533,0,0.0433
59534,0,0.1249
59535,0,0.0112
59536,0,0.0314
59537,0,0.0554
59538,0,0.0784
59539,0,0.0623
59540,1,0.7545
59541,0,0.0061
59542,0,0.0444
59543,0,0.016
59544,0,0.1224
59545,0,0.0118
59546,0,0.0157
59547,0,0.0215
59548,0,0.0005
59549,0,0.031
59550,0,0.0023
59551,0,0.0169
59552,0,0.001
59553,0,0.0043
59554,1,0.9422
59555,0,0.0026
59556,0,0.0005
59557,0,0.0021
59558,0,0.0467
59559,0,0.0064
59560,0,0.0012
59561,0,0.0045
59562,0,0.0799
59563,0,0.1087
59564,0,0.027
59565,0,0.0066
59566,0,0.0092
59567,0,0.0106
59568,0,0.0014
59569,0,0.0018
59570,0,0.0361
59571,0,0.0167
59572,0,0.0051
59573,0,0.0179
59574,1,0.9804
59575,0,0.0271
59576,0,0.032
59577,0,0.0404
59578,1,0.9075
59579,0,0.0041
59580,0,0.0033
59581,0,0.0078
59582,0,0.0054
59583,0,0.0127
59584,0,0.0007
59585,0,0.0515
59586,0,0.0125
59587,0,0.0042
59588,0,0.1024
59589,0,0.2427
59590,0,0.0015
59591,0,0.2278
59592,0,0.01
59593,0,0.012
59594,0,0.0784
59595,0,0.0009
59596,0,0.0973
59597,1,0.9183
59598,0,0.0374
59599,0,0.0597
59600,1,0.9019
59601,0,0.0006
59602,0,0.0646
59603,0,0.0674
59604,0,0.0073
59605,0,0.001
59606,0,0.0031
59607,0,0.0816
59608,0,0.004
59609,0,0.0029
59610,1,0.9947
59611,0,0.0065
59612,1,0.9883
59613,0,0.0356
59614,0,0.0788
59615,0,0.0049
59616,0,0.0218
59617,0,0.028
59618,0,0.1432
59619,0,0.032
59620,0,0.0095
59621,0,0.0526
59622,0,0.0087
59623,0,0.0599
59624,0,0.1655
59625,0,0.0152
59626,0,0.0135
59627,0,0.047
59628,0,0.001
59629,0,0.0008
59630,0,0.0432
59631,0,0.002
59632,0,0.0029
59633,0,0.0092
59634,0,0.0021
59635,0,0.0012
59636,0,0.077
59637,0,0.0016
59638,1,0.9818
59639,0,0.0077
59640,0,0.0019
59641,0,0.0033
59642,0,0.005
59643,0,0.1602
59644,0,0.0228
59645,0,0.2555
59646,0,0.0078
59647,1,0.9562
59648,0,0.0104
59649,0,0.0056
59650,0,0.0004
59651,0,0.0009
59652,0,0.0041
59653,0,0.0072
59654,0,0.0323
59655,0,0.0126
59656,0,0.1742
59657,1,0.968
59658,0,0.0031
59659,0,0.0338
59660,0,0.4582
59661,0,0.0606
59662,1,0.9375
59663,0,0.0351
59664,0,0.0613
59665,0,0.0118
59666,0,0.015
59667,0,0.0017
59668,0,0.0042
59669,0,0.0036
59670,0,0.0869
59671,0,0.0003
59672,0,0.0081
59673,0,0.0042
59674,1,0.5719
59675,0,0.0
59676,0,0.0667
59677,1,0.849
59678,0,0.0007
59679,0,0.0167
59680,0,0.0018
59681,0,0.0046
59682,0,0.0176
59683,0,0.0006
59684,0,0.0137
59685,0,0.0264
59686,0,0.145
59687,0,0.0277
59688,0,0.0336
59689,0,0.0934
59690,0,0.0025
59691,0,0.0005
59692,0,0.0277
59693,0,0.0144
59694,0,0.0795
59695,0,0.0011
59696,1,0.9159
59697,0,0.0089
59698,0,0.0045
59699,0,0.0053
59700,0,0.0466
59701,0,0.0005
59702,0,0.0136
59703,0,0.0438
59704,0,0.0021
59705,0,0.0513
59706,0,0.0451
59707,0,0.0073
59708,0,0.1187
59709,0,0.089
59710,0,0.0102
59711,0,0.0308
59712,0,0.0116
59713,0,0.0295
59714,1,0.9455
59715,1,0.9021
59716,0,0.0362
59717,0,0.0008
59718,0,0.0156
59719,1,0.9658
59720,0,0.004
59721,1,0.9261
59722,0,0.0057
59723,0,0.0054
59724,0,0.1544
59725,0,0.0095
59726,0,0.0042
59727,0,0.0648
59728,0,0.0009
59729,0,0.0004
59730,0,0.1172
59731,0,0.0627
59732,0,0.0324
59733,0,0.0022
59734,0,0.0049
59735,0,0.0005
59736,0,0.0792
59737,0,0.001
59738,0,0.3229
59739,0,0.011
59740,0,0.0054
59741,0,0.0047
59742,0,0.1301
59743,0,0.0255
59744,0,0.1091
59745,0,0.0371
59746,0,0.0028
59747,1,0.9987
59748,0,0.0121
59749,0,0.0063
59750,0,0.0581
59751,0,0.0036
59752,0,0.3516
59753,0,0.0014
59754,0,0.001
59755,0,0.0025
59756,0,0.0037
59757,0,0.0114
59758,0,0.0599
59759,0,0.0026
59760,0,0.4537
59761,0,0.0197
59762,0,0.1848
59763,0,1e-04
59764,0,0.0491
59765,0,0.0012
59766,0,0.1247
59767,0,0.0465
59768,0,0.0008
59769,0,0.0052
59770,0,0.0489
59771,0,0.001
59772,0,0.0097
59773,0,0.0106
59774,0,0.045
59775,0,0.0918
59776,0,0.1404
59777,0,0.0717
59778,0,0.001
59779,0,0.082
59780,0,0.0002
59781,0,0.0075
59782,0,0.0235
59783,0,0.0282
59784,0,0.0047
59785,0,0.0043
59786,0,0.2707
59787,1,0.618
59788,0,0.0188
59789,0,0.0536
59790,0,0.0094
59791,0,1e-04
59792,0,0.0282
59793,0,0.0256
59794,1,0.9532
59795,1,0.9861
59796,0,0.0008
59797,0,0.0317
59798,0,0.0017
59799,0,0.0022
59800,0,0.0902
59801,0,0.005
59802,0,0.1581
59803,0,0.1075
59804,0,0.0369
59805,0,0.001
59806,0,0.0132
59807,0,0.0021
59808,0,0.0004
59809,0,0.0167
59810,0,0.0087
59811,0,0.0132
59812,0,0.0072
59813,0,0.0016
59814,0,0.0137
59815,0,0.2635
59816,0,0.1139
59817,0,0.0011
59818,1,0.7197
59819,0,0.058
59820,0,0.004
59821,0,0.0706
59822,0,0.0079
59823,0,0.0344
59824,0,0.005
59825,0,0.0037
59826,0,0.0062
59827,0,0.1655
59828,0,0.0428
59829,0,0.1155
59830,0,0.0045
59831,0,0.0025
59832,0,0.2093
59833,0,0.0922
59834,0,0.0028
59835,0,0.0028
59836,0,0.0378
59837,0,0.0488
59838,0,0.1953
59839,0,0.0841
59840,0,0.0419
59841,1,0.995
59842,0,0.0361
59843,0,0.0052
59844,0,0.4145
59845,0,0.0181
59846,0,0.0006
59847,0,0.004
59848,0,0.0094
59849,0,0.0003
59850,1,0.9914
59851,0,0.0004
59852,0,0.0207
59853,0,0.007
59854,0,0.0023
59855,0,0.0022
59856,0,0.0034
59857,0,0.0169
59858,1,0.9639
59859,0,0.0244
59860,1,0.9705
59861,0,0.0047
59862,0,0.0022
59863,0,0.0018
59864,0,0.004
59865,0,0.0104
59866,0,0.0512
59867,0,0.0803
59868,0,0.0072
59869,0,0.036
59870,0,0.0003
59871,0,0.0007
59872,0,0.009
59873,0,0.0049
59874,0,0.0538
59875,0,0.1375
59876,0,0.0005
59877,0,0.1903
59878,1,0.9078
59879,0,0.0048
59880,1,0.9262
59881,0,0.0005
59882,0,0.0152
59883,0,0.0142
59884,0,0.0202
59885,0,0.0438
59886,0,0.0435
59887,1,0.9638
59888,0,0.0102
59889,0,0.0003
59890,0,0.0048
59891,1,0.5744
59892,0,0.0056
59893,0,0.021
59894,0,0.0161
59895,0,0.1329
59896,0,0.0007
59897,0,0.0081
59898,0,0.0055
59899,0,0.0031
59900,0,0.0057
59901,1,0.9915
59902,0,0.0092
59903,0,0.0099
59904,0,0.1052
59905,0,0.0896
59906,0,0.1855
59907,0,0.0057
59908,0,0.0053
59909,0,0.0529
59910,0,0.0968
59911,0,0.0391
59912,0,0.0102
59913,0,1e-04
59914,0,0.0493
59915,0,0.0052
59916,0,0.0006
59917,0,0.0075
59918,0,0.0003
59919,0,0.0151
59920,0,0.0187
59921,0,0.0545
59922,0,0.0536
59923,0,0.0223
59924,0,0.0011
59925,1,0.9827
59926,0,0.0073
59927,0,0.0018
59928,0,0.0008
59929,0,1e-04
59930,0,0.0046
59931,0,0.0147
59932,0,0.0249
59933,0,0.0107
59934,0,0.006
59935,0,0.0013
59936,0,0.0244
59937,0,0.0634
59938,0,0.1009
59939,0,0.1085
59940,1,0.7613
59941,0,0.0011
59942,0,0.0027
59943,0,0.0131
59944,0,0.0227
59945,0,0.0087
59946,0,0.0228
59947,0,0.002
59948,0,0.0222
59949,1,0.9954
59950,0,0.0055
59951,0,0.0729
59952,0,0.0018
59953,0,0.0695
59954,0,0.063
59955,0,0.0002
59956,0,0.0116
59957,0,0.1882
59958,0,0.0105
59959,0,0.0079
59960,0,0.0007
59961,0,0.0383
59962,0,0.1122
59963,0,0.0055
59964,0,0.0009
59965,0,0.0036
59966,1,0.954
59967,0,0.0222
59968,0,0.0002
59969,0,0.002
59970,0,0.279
59971,1,0.9956
59972,1,0.8604
59973,0,0.0532
59974,0,0.0029
59975,0,0.0134
59976,0,0.0012
59977,0,0.0419
59978,0,0.0788
59979,0,0.0085
59980,1,0.9945
59981,0,0.0262
59982,1,0.985
59983,0,0.1147
59984,0,0.0051
59985,0,0.016
59986,0,0.0154
59987,0,0.005
59988,0,0.0301
59989,0,0.0052
59990,0,0.0781
59991,0,0.0195
59992,0,0.0003
59993,0,0.0044
59994,0,0.0475
59995,1,0.9858
59996,0,0.0059
59997,0,0.0387
59998,0,0.0134
59999,0,0.0058
60000,0,0.0009
60001,0,0.0453
60002,0,0.2734
60003,0,0.0061
60004,0,0.0053
60005,0,0.0252
60006,0,0.0439
60007,0,0.0056
60008,0,0.0035
60009,0,0.0039
60010,0,0.2583
60011,0,0.0254
60012,0,0.0274
60013,0,0.0011
60014,0,0.017
60015,0,0.0171
60016,0,0.1171
60017,0,0.1538
60018,0,0.0246
60019,1,0.9563
60020,0,0.0484
60021,0,0.0059
60022,0,0.2943
60023,0,0.0125
60024,1,0.9885
60025,0,0.0218
60026,0,0.0552
60027,1,0.632
60028,0,0.0012
60029,1,0.9928
60030,1,0.7929
60031,0,0.1801
60032,0,0.139
60033,0,0.0009
60034,0,0.0005
60035,0,0.0961
60036,0,0.0012
60037,0,0.0023
60038,0,0.005
60039,0,0.0099
60040,0,0.0643
60041,0,0.0452
60042,0,0.0211
60043,0,0.0177
60044,0,0.0228
60045,0,0.0044
60046,0,0.0869
60047,0,0.0113
60048,0,0.0028
60049,0,0.0408
60050,0,0.0318
60051,1,0.9863
60052,0,0.0063
60053,0,0.1128
60054,0,0.0005
60055,0,0.0218
60056,0,0.1877
